İlan Oluşturma Tarihi,Net Metrekare,Ilce,Error,Fiyat Durumu,Kategorisi,Binanın Yaşı,Tipi,Tapu Durumu,Türü,Slug,Takas,url,Banyo Sayısı,__source_file,İlan Numarası,Isıtma Tipi,Baslik,Kullanım Durumu,Binanın Kat Sayısı,Fiyat,İlan Güncelleme Tarihi,Oda Sayısı,Site İçerisinde,Bulunduğu Kat,ParseStatus,Lokasyon,Krediye Uygunluk,Brüt Metrekare,Il,Ilce_sayfa,Mahalle,Yakin_Ulasim_Min_m,Yakin_Egitim_Min_m,Yakin_Market_Min_m,Yakininda_JSON,Ilan_Ozellikleri,Ilan_Ozellik_Sayisi,Bolge_1Y_Deger_Degisimi,Demo_Toplam_Nufus,Demo_Egitim_Durumu,Demo_Ortalama_Yas,Demo_Medeni_Hal,Demo_Sosyo_Ekonomik_Statu,Demo_Hane_Halki_Geliri,Demo_Hane_Halki_Geliri_TL
,120 m²,Dikili,,Genel Fiyat,Satılık,0 (Yeni),Villa,Kat Mülkiyeti,Konut,dikili,Yok,https://www.emlakjet.com/ilan/izmir-dikili-ismetpasa-da-satilik-ozel-havuzlu-51-luks-villa-18991468,3,izmir_part2_10_20_pages5.csv,18991468.0,Isıtma Yok,İzmir Dikili İşmetpaşa'da Satılık Özel Havuzlu 5+1 Lüks Villa,Boş,3.0,12.700.000 TL,10 Şubat 2026,5+1,Hayır,,OK,İzmir - Dikili - Cumhuriyet Mahallesi,Krediye Uygun,145 m²,İzmir,Dikili,Cumhuriyet Mahallesi,699.0,699.0,699.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":756},{""name"":""Otobüs Durağı"",""distance_m"":1200},{""name"":""Mavi Ege Kent Sitesi Otobüs Durağı"",""distance_m"":1300},{""name"":""A - 101 - 487. Sokak Şubesi"",""distance_m"":699},{""name"":""Şok - Dikili Uğur Mumcu Caddesi Şubesi"",""distance_m"":700},{""name"":""Bim - 14 Eylül Şubesi"",""distance_m"":747}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":756},{""name"":""Otobüs Durağı"",""distance_m"":1200},{""name"":""Mavi Ege Kent Sitesi Otobüs Durağı"",""distance_m"":1300},{""name"":""A - 101 - 487. Sokak Şubesi"",""distance_m"":699},{""name"":""Şok - Dikili Uğur Mumcu Caddesi Şubesi"",""distance_m"":700},{""name"":""Bim - 14 Eylül Şubesi"",""distance_m"":747}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":756},{""name"":""Otobüs Durağı"",""distance_m"":1200},{""name"":""Mavi Ege Kent Sitesi Otobüs Durağı"",""distance_m"":1300},{""name"":""A - 101 - 487. Sokak Şubesi"",""distance_m"":699},{""name"":""Şok - Dikili Uğur Mumcu Caddesi Şubesi"",""distance_m"":700},{""name"":""Bim - 14 Eylül Şubesi"",""distance_m"":747}]}",,,17.0,3.988 - Normal,%32 Üniversite ve Üstü,52,%64 Evli,C,,
,148 m²,Dikili,,Genel Fiyat,Satılık,5-10,Villa,Kat Mülkiyeti,Konut,dikili,Yok,https://www.emlakjet.com/ilan/startkey-den-dikili-merkez-de-denize-100-metre-satilik-31-villa-18988777,1,izmir_part2_10_20_pages5.csv,18988777.0,Kombi Doğalgaz,Startkey'den Dikili Merkez'de Denize 100 Metre Satılık 3+1 Villa,Boş,2.0,15.900.000 TL,10 Şubat 2026,3+1,Hayır,,OK,İzmir - Dikili - İsmetpaşa Mahallesi,Krediye Uygun,180 m²,İzmir,Dikili,İsmetpaşa Mahallesi,37.0,37.0,37.0,"{""Ulaşım"":[{""name"":""Minibüs Durağı"",""distance_m"":37},{""name"":""Eski Garaj Taksi Durağı"",""distance_m"":48},{""name"":""Otobüs Durağı"",""distance_m"":55},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":222},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":241},{""name"":""Can Rüştü Tüfekçioğlu Ortaokulu"",""distance_m"":303},{""name"":""Pehlivanoğlu"",""distance_m"":94},{""name"":""CarrefourSA Süper - İzmir Dikili Şubesi"",""distance_m"":292}],""Eğitim Kurumları"":[{""name"":""Minibüs Durağı"",""distance_m"":37},{""name"":""Eski Garaj Taksi Durağı"",""distance_m"":48},{""name"":""Otobüs Durağı"",""distance_m"":55},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":222},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":241},{""name"":""Can Rüştü Tüfekçioğlu Ortaokulu"",""distance_m"":303},{""name"":""Pehlivanoğlu"",""distance_m"":94},{""name"":""CarrefourSA Süper - İzmir Dikili Şubesi"",""distance_m"":292}],""Marketler"":[{""name"":""Minibüs Durağı"",""distance_m"":37},{""name"":""Eski Garaj Taksi Durağı"",""distance_m"":48},{""name"":""Otobüs Durağı"",""distance_m"":55},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":222},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":241},{""name"":""Can Rüştü Tüfekçioğlu Ortaokulu"",""distance_m"":303},{""name"":""Pehlivanoğlu"",""distance_m"":94},{""name"":""CarrefourSA Süper - İzmir Dikili Şubesi"",""distance_m"":292}]}",Fiber|Hilton Banyo|Duşakabinli|Panjur|Panel Kapı|Laminant|Yüksek Tavan|Kartonpiyer|Spot Işık|Klima|Kuzey Cepheli|Batı Cepheli|Çocuk Parkı|Kapalı Havuz|Futbol Sahası|Bahçe|Şehir Manzaralı|Caddeye Yakın|Okula Yakın|Denize Yakın|Dolmuş,21.0,22.0,10.013 - Çok yoğun,%28 İlkokul,40,%52 Evli,C,40.922 TL,40922.0
,85 m²,Dikili,,Genel Fiyat,Satılık,5-10,Daire,Kat Mülkiyeti,Konut,dikili,Var,https://www.emlakjet.com/ilan/turpa-arxes-guvencesiyle-masrafsiz-deniz-manzarali-bahceli-18985537,1,izmir_part2_10_20_pages5.csv,18985537.0,Klimalı,Turpa Arxes Güvencesiyle Masrafsız Deniz Manzaralı Bahçeli,Mülk Sahibi Oturuyor,3.0,3.800.000 TL,09 Şubat 2026,2+1,Hayır,Bahçe Katı,OK,İzmir - Dikili - İsmetpaşa Mahallesi,Krediye Uygun,100 m²,İzmir,Dikili,İsmetpaşa Mahallesi,133.0,133.0,133.0,"{""Ulaşım"":[{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":620},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":643},{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":644},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":521},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":674},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":679},{""name"":""Pazar Alanı"",""distance_m"":133},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":301}],""Eğitim Kurumları"":[{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":620},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":643},{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":644},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":521},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":674},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":679},{""name"":""Pazar Alanı"",""distance_m"":133},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":301}],""Marketler"":[{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":620},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":643},{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":644},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":521},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":674},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":679},{""name"":""Pazar Alanı"",""distance_m"":133},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":301}]}",Kablo TV - Uydu|Duşakabinli|Gömme Dolap|Çelik Kapı|Laminant|Parke|Klima|PVC Doğrama|Kamera Sistemi|Ses Yalıtımı|Kuzey Cepheli|Doğu Cepheli|Batı Cepheli|Alışveriş Merkezi|Yeşil Alan Manzaralı|Deniz Manzaralı|Semt Pazarına Yakın,17.0,30.0,10.013 - Çok yoğun,%28 İlkokul,40,%52 Evli,C,40.922 TL,40922.0
,85 m²,Dikili,,Genel Fiyat,Satılık,5-10,Daire,Kat Mülkiyeti,Konut,dikili,,https://www.emlakjet.com/ilan/turpa-arxes-guvencesiyle-masrafsiz-deniz-manzarali-bahceli-18983413,1,izmir_part2_10_20_pages5.csv,18983413.0,Klimalı,Turpa Arxes Güvencesiyle Masrafsız Deniz Manzaralı Bahçeli,Mülk Sahibi Oturuyor,3.0,3.500.000 TL,09 Şubat 2026,2+1,Hayır,Bahçe Katı,OK,İzmir - Dikili - İsmetpaşa Mahallesi,Krediye Uygun,100 m²,İzmir,Dikili,İsmetpaşa Mahallesi,137.0,137.0,137.0,"{""Ulaşım"":[{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":618},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":638},{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":641},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":523},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":671},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":676},{""name"":""Pazar Alanı"",""distance_m"":137},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":302}],""Eğitim Kurumları"":[{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":618},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":638},{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":641},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":523},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":671},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":676},{""name"":""Pazar Alanı"",""distance_m"":137},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":302}],""Marketler"":[{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":618},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":638},{""name"":""Dikili Lise Otobüs Durağı"",""distance_m"":641},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":523},{""name"":""Dikili Çok Programlı Anadolu Lisesi"",""distance_m"":671},{""name"":""Dikili Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":676},{""name"":""Pazar Alanı"",""distance_m"":137},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":302}]}",,,30.0,10.013 - Çok yoğun,%28 İlkokul,40,%52 Evli,C,40.922 TL,40922.0
,220 m²,Dikili,,Genel Fiyat,Satılık,5-10,Müstakil Ev,Kat Mülkiyeti,Konut,dikili,Yok,https://www.emlakjet.com/ilan/hatunoglu-ndan-satilik-dikili-de-41-tripleks-villa-18962001,3,izmir_part2_10_20_pages5.csv,18962001.0,Sobalı,Hatunoğlu'ndan Satılık Dikili'de 4+1 Tripleks Villa,Mülk Sahibi Oturuyor,2.0,12.000.000 TL,06 Şubat 2026,4+1,Hayır,,OK,İzmir - Dikili - Cumhuriyet Mahallesi,Krediye Uygun,243 m²,İzmir,Dikili,Cumhuriyet Mahallesi,97.0,97.0,97.0,"{""Ulaşım"":[{""name"":""Dikili Otogarı"",""distance_m"":372},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":375},{""name"":""Otobüs Durağı"",""distance_m"":391},{""name"":""Özel Barış Ortaokulu"",""distance_m"":97},{""name"":""Can Rüştü Tüfekçioğlu Ortaokulu"",""distance_m"":422},{""name"":""Özel Dikili Uğur Anaokulu"",""distance_m"":437},{""name"":""MM Migros"",""distance_m"":393},{""name"":""MM Migros - Dikili Şubesi"",""distance_m"":404}],""Eğitim Kurumları"":[{""name"":""Dikili Otogarı"",""distance_m"":372},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":375},{""name"":""Otobüs Durağı"",""distance_m"":391},{""name"":""Özel Barış Ortaokulu"",""distance_m"":97},{""name"":""Can Rüştü Tüfekçioğlu Ortaokulu"",""distance_m"":422},{""name"":""Özel Dikili Uğur Anaokulu"",""distance_m"":437},{""name"":""MM Migros"",""distance_m"":393},{""name"":""MM Migros - Dikili Şubesi"",""distance_m"":404}],""Marketler"":[{""name"":""Dikili Otogarı"",""distance_m"":372},{""name"":""Burmalı Çeşme Otobüs Durağı"",""distance_m"":375},{""name"":""Otobüs Durağı"",""distance_m"":391},{""name"":""Özel Barış Ortaokulu"",""distance_m"":97},{""name"":""Can Rüştü Tüfekçioğlu Ortaokulu"",""distance_m"":422},{""name"":""Özel Dikili Uğur Anaokulu"",""distance_m"":437},{""name"":""MM Migros"",""distance_m"":393},{""name"":""MM Migros - Dikili Şubesi"",""distance_m"":404}]}",Çelik Kapı|Kiler|PVC Doğrama|Alışveriş Merkezi|Anayol|Denize Sıfır|Minibüs,7.0,17.0,3.988 - Normal,%32 Üniversite ve Üstü,52,%64 Evli,C,,
,40 m²,Dikili,,Genel Fiyat,Satılık,0 (Yeni),Daire,Kat İrtifakı,Konut,dikili,Yok,https://www.emlakjet.com/ilan/candarlida-denize-ve-merkeze-yurume-mesafesinde-11-daire-18961035,1,izmir_part2_10_20_pages5.csv,18961035.0,Isıtma Yok,Çandarlıda Denize Ve Merkeze Yürüme Mesafesinde 1+1 Daire,Boş,2.0,3.350.000 TL,06 Şubat 2026,1+1,Hayır,2.Kat,OK,İzmir - Dikili - Çandarlı Mahallesi,Krediye Uygun,45 m²,İzmir,Dikili,Çandarlı Mahallesi,372.0,372.0,372.0,"{""Ulaşım"":[{""name"":""Çandarlı Mezarlık Otobüs Durağı"",""distance_m"":372},{""name"":""Çandarlı Mezarlık Otobüs Durağı"",""distance_m"":419},{""name"":""Otobüs Durağı"",""distance_m"":454},{""name"":""Nebiye Kavalalı Mesleki Ve Teknik Anadolu Lisesi"",""distance_m"":708},{""name"":""Özel Bilgi Çınarı Anaokulu"",""distance_m"":1300},{""name"":""Çandarlı Mehmet Dilsiz Ortaokulu"",""distance_m"":1300},{""name"":""Şok - Çandarlı Üçyol Şubesi"",""distance_m"":373},{""name"":""A - 101"",""distance_m"":598}],""Eğitim Kurumları"":[{""name"":""Çandarlı Mezarlık Otobüs Durağı"",""distance_m"":372},{""name"":""Çandarlı Mezarlık Otobüs Durağı"",""distance_m"":419},{""name"":""Otobüs Durağı"",""distance_m"":454},{""name"":""Nebiye Kavalalı Mesleki Ve Teknik Anadolu Lisesi"",""distance_m"":708},{""name"":""Özel Bilgi Çınarı Anaokulu"",""distance_m"":1300},{""name"":""Çandarlı Mehmet Dilsiz Ortaokulu"",""distance_m"":1300},{""name"":""Şok - Çandarlı Üçyol Şubesi"",""distance_m"":373},{""name"":""A - 101"",""distance_m"":598}],""Marketler"":[{""name"":""Çandarlı Mezarlık Otobüs Durağı"",""distance_m"":372},{""name"":""Çandarlı Mezarlık Otobüs Durağı"",""distance_m"":419},{""name"":""Otobüs Durağı"",""distance_m"":454},{""name"":""Nebiye Kavalalı Mesleki Ve Teknik Anadolu Lisesi"",""distance_m"":708},{""name"":""Özel Bilgi Çınarı Anaokulu"",""distance_m"":1300},{""name"":""Çandarlı Mehmet Dilsiz Ortaokulu"",""distance_m"":1300},{""name"":""Şok - Çandarlı Üçyol Şubesi"",""distance_m"":373},{""name"":""A - 101"",""distance_m"":598}]}",Alışveriş Merkezi|Anayol|Minibüs,3.0,28.0,8.233 - Çok yoğun,%27 İlkokul,47,%57 Evli,C,53.066 TL,53066.0
,110 m²,Dikili,,Genel Fiyat,Satılık,0 (Yeni),Villa,Kat Mülkiyeti,Konut,dikili,Yok,https://www.emlakjet.com/ilan/muhtesem-villa-tam-mustakil-havuzlu-denize-500m-41-esyali-18961006,2,izmir_part2_10_20_pages5.csv,18961006.0,Klimalı,Muhteşem Villa Tam Müstakil Havuzlu Denize 500m 4+1 Eşyalı,Boş,3.0,14.000.000 TL,06 Şubat 2026,4+1,Hayır,,OK,İzmir - Dikili - Salihler Mahallesi,Krediye Uygun,160 m²,İzmir,Dikili,Salihler Mahallesi,125.0,125.0,125.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":444},{""name"":""Otobüs Durağı"",""distance_m"":641},{""name"":""Salihleraltı Taksi Durağı"",""distance_m"":645},{""name"":""Bim - Çalı Çeşme Dikili İzmir"",""distance_m"":125},{""name"":""A - 101"",""distance_m"":152},{""name"":""Migros - Dikili Sahil Yolu Şubesi"",""distance_m"":158}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":444},{""name"":""Otobüs Durağı"",""distance_m"":641},{""name"":""Salihleraltı Taksi Durağı"",""distance_m"":645},{""name"":""Bim - Çalı Çeşme Dikili İzmir"",""distance_m"":125},{""name"":""A - 101"",""distance_m"":152},{""name"":""Migros - Dikili Sahil Yolu Şubesi"",""distance_m"":158}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":444},{""name"":""Otobüs Durağı"",""distance_m"":641},{""name"":""Salihleraltı Taksi Durağı"",""distance_m"":645},{""name"":""Bim - Çalı Çeşme Dikili İzmir"",""distance_m"":125},{""name"":""A - 101"",""distance_m"":152},{""name"":""Migros - Dikili Sahil Yolu Şubesi"",""distance_m"":158}]}",Çamaşır Kurutma Makinesi|Çamaşır Makinesi|Seramik Zemin|Beyaz Eşya|Çelik Kapı|Çamaşır Odası|Bulaşık Makinesi|Fırın|Buzdolabı|Alışveriş Merkezi|Anayol|Dolmuş,12.0,33.0,3.907 - Normal,%28 İlkokul,49,%64 Evli,C,75.903 TL,75903.0
,120 m²,Dikili,,Genel Fiyat,Satılık,11-15,Daire,Kat İrtifakı,Konut,dikili,Yok,https://www.emlakjet.com/ilan/dikili-merkezde-harika-31-daire-18959165,1,izmir_part2_10_20_pages5.csv,18959165.0,Klimalı,Dikili Merkezde Harika 3+1 Daire,Kiracı Oturuyor,5.0,7.300.000 TL,05 Şubat 2026,3+1,Hayır,3.Kat,OK,İzmir - Dikili - Gazipaşa Mahallesi,Krediye Uygun,135 m²,İzmir,Dikili,Gazipaşa Mahallesi,41.0,41.0,41.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":145},{""name"":""Güven Taksi Durağı"",""distance_m"":198},{""name"":""Otobüs Durağı"",""distance_m"":209},{""name"":""Eski Kız Meslek Lisesi"",""distance_m"":41},{""name"":""Atatürk İlkokulu"",""distance_m"":141},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":412},{""name"":""A - 101"",""distance_m"":62},{""name"":""Seç Market"",""distance_m"":136}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":145},{""name"":""Güven Taksi Durağı"",""distance_m"":198},{""name"":""Otobüs Durağı"",""distance_m"":209},{""name"":""Eski Kız Meslek Lisesi"",""distance_m"":41},{""name"":""Atatürk İlkokulu"",""distance_m"":141},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":412},{""name"":""A - 101"",""distance_m"":62},{""name"":""Seç Market"",""distance_m"":136}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":145},{""name"":""Güven Taksi Durağı"",""distance_m"":198},{""name"":""Otobüs Durağı"",""distance_m"":209},{""name"":""Eski Kız Meslek Lisesi"",""distance_m"":41},{""name"":""Atatürk İlkokulu"",""distance_m"":141},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":412},{""name"":""A - 101"",""distance_m"":62},{""name"":""Seç Market"",""distance_m"":136}]}",PVC Doğrama|Isıcam,2.0,32.0,6.149 - Normal,%29 Üniversite ve Üstü,44,%52 Evli,C,,
,75 m²,Dikili,,Genel Fiyat,Satılık,5-10,Daire,Kat İrtifakı,Konut,dikili,,https://www.emlakjet.com/ilan/dikili-merkezde-bahce-kullanimli-ve-genis-mutfakli-21-daire-18958056,1,izmir_part2_10_20_pages5.csv,18958056.0,Merkezi Doğalgaz,"Dikili Merkezde, Bahçe Kullanımlı Ve Geniş Mutfaklı 2+1 Daire",Mülk Sahibi Oturuyor,6.0,3.700.000 TL,05 Şubat 2026,2+1,Hayır,Kot 1 (-1).Kat,OK,İzmir - Dikili - İsmetpaşa Mahallesi,Bilinmiyor,85 m²,İzmir,Dikili,İsmetpaşa Mahallesi,95.0,95.0,95.0,"{""Ulaşım"":[{""name"":""Park Taksi Durağı"",""distance_m"":352},{""name"":""Emniyet Taksi Durağı"",""distance_m"":363},{""name"":""Dikili Hastanesi Otobüs Durağı"",""distance_m"":390},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":153},{""name"":""Eski Kız Meslek Lisesi"",""distance_m"":462},{""name"":""Atatürk İlkokulu"",""distance_m"":596},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":95},{""name"":""A - 101"",""distance_m"":162}],""Eğitim Kurumları"":[{""name"":""Park Taksi Durağı"",""distance_m"":352},{""name"":""Emniyet Taksi Durağı"",""distance_m"":363},{""name"":""Dikili Hastanesi Otobüs Durağı"",""distance_m"":390},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":153},{""name"":""Eski Kız Meslek Lisesi"",""distance_m"":462},{""name"":""Atatürk İlkokulu"",""distance_m"":596},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":95},{""name"":""A - 101"",""distance_m"":162}],""Marketler"":[{""name"":""Park Taksi Durağı"",""distance_m"":352},{""name"":""Emniyet Taksi Durağı"",""distance_m"":363},{""name"":""Dikili Hastanesi Otobüs Durağı"",""distance_m"":390},{""name"":""Ali Çetinkaya İlkokulu"",""distance_m"":153},{""name"":""Eski Kız Meslek Lisesi"",""distance_m"":462},{""name"":""Atatürk İlkokulu"",""distance_m"":596},{""name"":""Bim - Reyhan Dikili İzmir"",""distance_m"":95},{""name"":""A - 101"",""distance_m"":162}]}",Caddeye Yakın|Hastaneye Yakın|Otobüs,3.0,30.0,10.013 - Çok yoğun,%28 İlkokul,40,%52 Evli,C,40.922 TL,40922.0
,80 m²,Dikili,,Genel Fiyat,Satılık,11-15,Daire,Kat İrtifakı,Konut,dikili,Var,https://www.emlakjet.com/ilan/perla-otel-arkasi-21-genis-daire-bahceli-11-12-yillik-18956040,1,izmir_part2_10_20_pages5.csv,18956040.0,Kombi Doğalgaz,Perla Otel Arkası 2+1 Geniş Daire Bahçeli 11-12 Yıllık,Mülk Sahibi Oturuyor,4.0,3.650.000 TL,05 Şubat 2026,2+1,Hayır,Düz Giriş (Zemin),OK,İzmir - Dikili - Gazipaşa Mahallesi,Krediye Uygun,85 m²,İzmir,Dikili,Gazipaşa Mahallesi,52.0,52.0,52.0,"{""Ulaşım"":[{""name"":""Dikili Sahil Otobüs Durağı"",""distance_m"":52},{""name"":""Dikili Sahil Otobüs Durağı"",""distance_m"":66},{""name"":""Otobüs Durağı"",""distance_m"":149},{""name"":""Atatürk İlkokulu"",""distance_m"":373},{""name"":""Cumhuriyet Ortaokulu"",""distance_m"":454},{""name"":""Dikili Anadolu İmam Hatip Lisesi"",""distance_m"":478},{""name"":""Bim - Gazipaşa - Dikili Şubesi"",""distance_m"":114},{""name"":""Şok - İzmir Dikili Üstyol Şubesi"",""distance_m"":219}],""Eğitim Kurumları"":[{""name"":""Dikili Sahil Otobüs Durağı"",""distance_m"":52},{""name"":""Dikili Sahil Otobüs Durağı"",""distance_m"":66},{""name"":""Otobüs Durağı"",""distance_m"":149},{""name"":""Atatürk İlkokulu"",""distance_m"":373},{""name"":""Cumhuriyet Ortaokulu"",""distance_m"":454},{""name"":""Dikili Anadolu İmam Hatip Lisesi"",""distance_m"":478},{""name"":""Bim - Gazipaşa - Dikili Şubesi"",""distance_m"":114},{""name"":""Şok - İzmir Dikili Üstyol Şubesi"",""distance_m"":219}],""Marketler"":[{""name"":""Dikili Sahil Otobüs Durağı"",""distance_m"":52},{""name"":""Dikili Sahil Otobüs Durağı"",""distance_m"":66},{""name"":""Otobüs Durağı"",""distance_m"":149},{""name"":""Atatürk İlkokulu"",""distance_m"":373},{""name"":""Cumhuriyet Ortaokulu"",""distance_m"":454},{""name"":""Dikili Anadolu İmam Hatip Lisesi"",""distance_m"":478},{""name"":""Bim - Gazipaşa - Dikili Şubesi"",""distance_m"":114},{""name"":""Şok - İzmir Dikili Üstyol Şubesi"",""distance_m"":219}]}",,,32.0,6.149 - Normal,%29 Üniversite ve Üstü,44,%52 Evli,C,,
